,model,run,ecs,tcr,tau1,tau2,tau3,q1,q2,q3
0,ACCESS-CM2,r1i1p1f1,5.122596220048067,2.3458843339066955,0.6345618270831553,7.759539341025865,318.5511940553216,0.1306582794930527,0.4948449968730747,0.7938844266082449
1,ACCESS-ESM1-5,r1i1p1f1,4.4796724470328,1.897579528495123,0.8367983214853958,6.439240827667435,341.7310002792683,0.17580836419983117,0.4125646940224896,0.9105315616452297
2,AWI-CM-1-1-MR,r1i1p1f1,3.187020288990703,2.040491873565713,1.0912586948916354,6.330668898382092,165.3375321701084,0.20344490335871007,0.3070507473167008,0.33433816993738336
3,BCC-CSM2-MR,r1i1p1f1,3.170393127240652,1.7606518110117526,0.9853430060672399,5.805754059828853,210.75095142724635,0.193862683130015,0.22882150341683954,0.4083274608740097
4,BCC-ESM1,r1i1p1f1,3.3552529251964995,1.8269791296933,2.211158453991832,14.723658838232462,340.71813684177624,0.3702475210542799,0.3241093291838955,0.5270915807520977
5,CAMS-CSM1-0,r1i1p1f1,2.234807400317492,1.649203669489331,0.3923967616097622,5.187293852025894,139.27264492962917,0.10838045963668488,0.27317551046589417,0.15057893075194015
6,CAMS-CSM1-0,r2i1p1f1,2.2264539936173544,1.6454644884505816,0.8536235197032065,5.233146623398173,133.54857338529334,0.12187100500053767,0.2598465477733689,0.1516552779862367
7,CESM2-FV2,r1i1p1f1,6.370096590325873,2.148442971198568,0.530880284077791,4.369133542975058,416.7290611603359,0.08622256712008951,0.4482500276646664,1.2606189130326004
8,CESM2-WACCM,r1i1p1f1,5.282443759039323,2.2142964837589605,0.3284751468504818,4.8763150074966,325.54586242038437,0.05159692038776317,0.4818091910807882,0.8635466381254133
9,CESM2-WACCM-FV2,r1i1p1f1,5.594945138336581,2.063313241122743,0.6209944260549954,6.503054597517039,457.2113946324075,0.13204829542708985,0.4852429590313821,1.1580776448647756
10,CMCC-CM2-SR5,r1i1p1f1,2.7668884875245663,2.1990807159750805,1.541373646275495,28.763710422080894,1090.2256566892065,0.33879329747432724,0.3588830775075406,0.0008427453122575712
11,CNRM-CM6-1,r1i1p1f2,3.225231389145626,2.509711128432663,2.0180862881284707,27.30202676918823,488.5208597375573,0.351103432166439,0.4240327932103984,0.012053790316691475
12,CNRM-CM6-1-HR,r1i1p1f2,3.537985159372933,2.4550337140769103,1.7209325271019884,15.584565657321788,293.86342415518266,0.26447537358956497,0.4443161456296144,0.1919788412682432
13,CNRM-ESM2-1,r1i1p1f2,4.2336723800542755,2.2543105841015327,0.8612795033336103,8.95581328537647,316.4284915970935,0.14038258136647377,0.719735837811819,0.7159659305246869
