Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2313,2314,2315,2316,2317,2318,2319,2320,2321,2322,2323,2324,2325,2326,2327,2328,2329,2330,2331,2332,2333,2334,2335,2336,2337,2338,2339,2340,2341,2342,2343,2344,2345,2346,2347,2348,2349,2350,2351,2352,2353,2354,2355,2356,2357,2358,2359,2360,2361,2362,2363,2364,2365,2366,2367,2368,2369,2370,2371,2372,2373,2374,2375,2376,2377,2378,2379,2380,2381,2382,2383,2384,2385,2386,2387,2388,2389,2390,2391,2392,2393,2394,2395,2396,2397,2398,2399,2400,2401,2402,2403,2404,2405,2406,2407,2408,2409,2410,2411,2412,2413,2414,2415,2416,2417,2418,2419,2420,2421,2422,2423,2424,2425,2426,2427,2428,2429,2430,2431,2432,2433,2434,2435,2436,2437,2438,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,2487,2488,2489,2490,2491,2492,2493,2494,2495,2496,2497,2498,2499,2500
AIM/CGE,ssp370,World,Emissions|BC,Mt BC/yr,9.727423577,,,,,10.2278933,,,,,,,,,,10.68755416,,,,,,,,,,11.00638786,,,,,,,,,,10.94571187,,,,,,,,,,10.58161735,,,,,,,,,,10.20387536,,,,,,,,,,9.761072065,,,,,,,,,,9.449638145,,,,,,,,,,9.105232927,,,,,,,,,,8.609235173,,,,,,,,,,8.113237419,,,,,,,,,,7.617239665,,,,,,,,,,7.12124191,,,,,,,,,,6.625244156,,,,,,,,,,6.129246402,,,,,,,,,,5.633248648,,,,,,,,,,5.137250894,,,,,,,,,,4.641253139,,,,,,,,,,4.145255385,,,,,,,,,,3.649257631,,,,,,,,,,3.153259877,,,,,,,,,,2.657262123,,,,,,,,,,2.161264368,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614,,,,,,,,,,1.665266614
AIM/CGE,ssp370,World,Emissions|CH4,Mt CH4/yr,388.0727957,,,,,418.454212,,,,,,,,,,471.3307935,,,,,,,,,,515.545705,,,,,,,,,,558.9742742,,,,,,,,,,602.3185293,,,,,,,,,,647.1294055,,,,,,,,,,693.382453,,,,,,,,,,735.3231926,,,,,,,,,,777.7321923,,,,,,,,,,752.6298166,,,,,,,,,,727.5274409,,,,,,,,,,702.4250652,,,,,,,,,,677.3226895,,,,,,,,,,652.2203138,,,,,,,,,,627.117938,,,,,,,,,,602.0155623,,,,,,,,,,576.9131866,,,,,,,,,,551.8108109,,,,,,,,,,526.7084352,,,,,,,,,,501.6060595,,,,,,,,,,476.5036838,,,,,,,,,,451.4013081,,,,,,,,,,426.2989324,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567,,,,,,,,,,401.1965567
AIM/CGE,ssp370,World,Emissions|CO,Mt CO/yr,934.3498847,,,,,968.1999428,,,,,,,,,,985.3938279,,,,,,,,,,1002.73395,,,,,,,,,,996.0363135,,,,,,,,,,969.819813,,,,,,,,,,946.5924811,,,,,,,,,,926.1327891,,,,,,,,,,919.4180303,,,,,,,,,,915.425024,,,,,,,,,,876.5544248,,,,,,,,,,837.6838257,,,,,,,,,,798.8132266,,,,,,,,,,759.9426275,,,,,,,,,,721.0720284,,,,,,,,,,682.2014292,,,,,,,,,,643.3308301,,,,,,,,,,604.460231,,,,,,,,,,565.5896319,,,,,,,,,,526.7190328,,,,,,,,,,487.8484336,,,,,,,,,,448.9778345,,,,,,,,,,410.1072354,,,,,,,,,,371.2366363,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372,,,,,,,,,,332.3660372
AIM/CGE,ssp370,World,Emissions|CO2|AFOLU,Mt CO2/yr,3517.44,,,,,3875.091863,,,,,,,,,,3518.037633,,,,,,,,,,3161.907297,,,,,,,,,,2889.126278,,,,,,,,,,3144.546763,,,,,,,,,,3048.513956,,,,,,,,,,2843.3053,,,,,,,,,,2564.9364,,,,,,,,,,2656.1211,,,,,,,,,,2124.89688,,,,,,,,,,1593.67266,,,,,,,,,,1062.44844,,,,,,,,,,531.22422,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
AIM/CGE,ssp370,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,35635.2863,,,,,40932.94636,,,,,,,,,,49329.32168,,,,,,,,,,55336.06253,,,,,,,,,,60014.93234,,,,,,,,,,63423.82085,,,,,,,,,,66993.46461,,,,,,,,,,70561.92062,,,,,,,,,,75234.11302,,,,,,,,,,80069.71202,,,,,,,,,,74731.73122,,,,,,,,,,69393.75042,,,,,,,,,,64055.76962,,,,,,,,,,58717.78882,,,,,,,,,,53379.80801,,,,,,,,,,48041.82721,,,,,,,,,,42703.84641,,,,,,,,,,37365.86561,,,,,,,,,,32027.88481,,,,,,,,,,26689.90401,,,,,,,,,,21351.92321,,,,,,,,,,16013.9424,,,,,,,,,,10675.9616,,,,,,,,,,5337.980801,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
AIM/CGE,ssp370,World,Emissions|HFC-125,kt HFC125/yr,78.7906,,,,,154.43609,,,,,,,,,,212.35886,,,,,,,,,,251.94196,,,,,,,,,,282.00255,,,,,,,,,,299.82743,,,,,,,,,,318.90341,,,,,,,,,,340.66424,,,,,,,,,,358.67418,,,,,,,,,,380.63661,,,,,,,,,,355.260836,,,,,,,,,,329.885062,,,,,,,,,,304.509288,,,,,,,,,,279.133514,,,,,,,,,,253.75774,,,,,,,,,,228.381966,,,,,,,,,,203.006192,,,,,,,,,,177.630418,,,,,,,,,,152.254644,,,,,,,,,,126.87887,,,,,,,,,,101.503096,,,,,,,,,,76.127322,,,,,,,,,,50.751548,,,,,,,,,,25.375774,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
AIM/CGE,ssp370,World,Emissions|HFC-134a,kt HFC134a/yr,201.9534,,,,,233.5676,,,,,,,,,,199.0872,,,,,,,,,,192.2743,,,,,,,,,,201.0908,,,,,,,,,,203.6045,,,,,,,,,,213.0797,,,,,,,,,,232.3408,,,,,,,,,,254.8777,,,,,,,,,,280.7325,,,,,,,,,,262.017,,,,,,,,,,243.3015,,,,,,,,,,224.586,,,,,,,,,,205.8705,,,,,,,,,,187.155,,,,,,,,,,168.4395,,,,,,,,,,149.724,,,,,,,,,,131.0085,,,,,,,,,,112.293,,,,,,,,,,93.5775,,,,,,,,,,74.862,,,,,,,,,,56.1465,,,,,,,,,,37.431,,,,,,,,,,18.7155,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
AIM/CGE,ssp370,World,Emissions|HFC-143a,kt HFC143a/yr,32.381,,,,,56.2473,,,,,,,,,,76.1049,,,,,,,,,,93.6298,,,,,,,,,,106.8825,,,,,,,,,,114.293,,,,,,,,,,123.5982,,,,,,,,,,133.4301,,,,,,,,,,140.3634,,,,,,,,,,148.9534,,,,,,,,,,139.0231733333,,,,,,,,,,129.0929466667,,,,,,,,,,119.16272,,,,,,,,,,109.2324933333,,,,,,,,,,99.3022666667,,,,,,,,,,89.37204,,,,,,,,,,79.4418133333,,,,,,,,,,69.5115866667,,,,,,,,,,59.58136,,,,,,,,,,49.6511333333,,,,,,,,,,39.7209066667,,,,,,,,,,29.79068,,,,,,,,,,19.8604533333,,,,,,,,,,9.9302266667,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
AIM/CGE,ssp370,World,Emissions|HFC-152a,kt HFC152a/yr,55.8814,,,,,55.494046,,,,,,,,,,35.037559,,,,,,,,,,27.934786,,,,,,,,,,25.741927,,,,,,,,,,23.590804,,,,,,,,,,22.536063,,,,,,,,,,22.601648,,,,,,,,,,23.012754,,,,,,,,,,23.870838,,,,,,,,,,22.2794488,,,,,,,,,,20.6880596,,,,,,,,,,19.0966704,,,,,,,,,,17.5052812,,,,,,,,,,15.913892,,,,,,,,,,14.3225028,,,,,,,,,,12.7311136,,,,,,,,,,11.1397244,,,,,,,,,,9.5483352,,,,,,,,,,7.956946,,,,,,,,,,6.3655568,,,,,,,,,,4.7741676,,,,,,,,,,3.1827784,,,,,,,,,,1.5913892,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
AIM/CGE,ssp370,World,Emissions|HFC-227ea,kt HFC227ea/yr,3.6633,,,,,4.9607237,,,,,,,,,,5.0732303,,,,,,,,,,5.0839052,,,,,,,,,,5.2332343,,,,,,,,,,4.8597317,,,,,,,,,,4.5802645,,,,,,,,,,4.4679978,,,,,,,,,,4.3955522,,,,,,,,,,4.4004699,,,,,,,,,,4.10710524,,,,,,,,,,3.81374058,,,,,,,,,,3.52037592,,,,,,,,,,3.22701126,,,,,,,,,,2.9336466,,,,,,,,,,2.64028194,,,,,,,,,,2.34691728,,,,,,,,,,2.05355262,,,,,,,,,,1.76018796,,,,,,,,,,1.4668233,,,,,,,,,,1.17345864,,,,,,,,,,0.88009398,,,,,,,,,,0.58672932,,,,,,,,,,0.29336466,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0
