year,erf
1750,0.1022150390625
1751,0.097800073242188
1752,0.079453784179688
1753,0.049375854492188
1754,0.013198095703125
1755,-0.021216796875
1756,-0.045694116210938
1757,-0.053276000976563
1758,-0.03413408203125
1759,0.017223046875
1760,0.067722143554688
1761,0.092605078125
1762,0.086458447265625
1763,0.064368017578125
1764,0.031029565429688
1765,-0.005725415039063
1766,-0.0355693359375
1767,-0.049687866210938
1768,-0.03650537109375
1769,0.01965673828125
1770,0.08580322265625
1771,0.117472412109375
1772,0.109921728515625
1773,0.0869888671875
1774,0.0510451171875
1775,0.01029638671875
1776,-0.025428955078125
1777,-0.046583349609375
1778,-0.042776806640625
1779,0.001856469726563
1780,0.0732603515625
1781,0.116037158203125
1782,0.11588115234375
1783,0.091591040039063
1784,0.05472685546875
1785,0.011201220703125
1786,-0.025491357421875
1787,-0.044789282226563
1788,-0.031091967773438
1789,0.037519409179688
1790,0.117659619140625
1791,0.14483583984375
1792,0.13073291015625
1793,0.112558227539062
1794,0.081778271484375
1795,0.045912524414063
1796,0.008018701171875
1797,-0.025850170898438
1798,-0.050889111328125
1799,-0.063119970703125
1800,-0.06059267578125
1801,-0.042386791992188
1802,-0.012511669921875
1803,0.015631787109375
1804,0.032792431640625
1805,0.0350701171875
1806,0.02652099609375
1807,0.01204365234375
1808,-0.008003100585938
1809,-0.029656713867188
1810,-0.049173046875
1811,-0.06258955078125
1812,-0.067285327148438
1813,-0.062012329101563
1814,-0.046333740234375
1815,-0.025428955078125
1816,-0.006458642578125
1817,0.005148193359375
1818,0.006895458984375
1819,-0.000452416992188
1820,-0.0138533203125
1821,-0.031169970703125
1822,-0.047768994140625
1823,-0.059188623046875
1824,-0.06159111328125
1825,-0.049968676757813
1826,-0.02003115234375
1827,0.0133541015625
1828,0.03775341796875
1829,0.045163696289063
1830,0.03613095703125
1831,0.016396215820313
1832,-0.010155981445313
1833,-0.035272924804688
1834,-0.050842309570313
1835,-0.0482994140625
1836,-0.014945361328125
1837,0.044071655273438
1838,0.088002905273438
1839,0.099828149414063
1840,0.086146435546875
1841,0.06371279296875
1842,0.030920361328125
1843,-0.00393134765625
1844,-0.03425888671875
1845,-0.0527923828125
1846,-0.0540404296875
1847,-0.041669165039063
1848,-0.0293291015625
1849,-0.016957836914063
1850,-0.004586572265625
1851,0.007755115381528
1852,0.002283199178611
1853,0.001503154817187
1854,-0.008608617026979
1855,-0.022483778159769
1856,-0.031076153480845
1857,-0.033493861264083
1858,-0.027442584680017
1859,-0.010582326225376
1860,0.003677079476134
1861,0.014255227210877
1862,0.012137768755365
1863,-0.000113050821383
1864,-0.007290089696603
1865,-0.014365155929818
1866,-0.020023629869439
1867,-0.022910635835822
1868,-0.027321754936314
1869,-0.017514598808924
1870,0.000308079516279
1871,0.001711747578669
1872,0.012501711191678
1873,0.006781097312059
1874,-0.002874824686956
1875,-0.011223702643409
1876,-0.02686408076037
1877,-0.034041629378516
1878,-0.038585890879178
1879,-0.044414996388067
1880,-0.043133183861302
1881,-0.029144750376222
1882,-0.009765282935585
1883,-0.013929399882292
1884,-0.016904666697894
1885,0.006303574458884
1886,-0.008147651768501
1887,-0.02458908791739
1888,-0.034770500454832
1889,-0.038734549900732
1890,-0.04015364291257
1891,-0.036669284099421
1892,-0.011180533898762
1893,0.00968719662527
1894,0.026166584974323
1895,0.045983346800099
1896,0.027203746120509
1897,0.001572803334716
1898,-0.014835430623918
1899,-0.022544941004913
1900,-0.03176039945419
1901,-0.037104946489716
1902,-0.046172391708594
1903,-0.044020664865145
1904,-0.025593423721111
1905,0.007650936539453
1906,-0.007035736033808
1907,0.016989508240573
1908,0.003997425754491
1909,0.012103198842528
1910,-0.00471312934772
1911,-0.017121066058443
1912,-0.03516470375375
1913,-0.042070688316467
1914,-0.040539981806516
1915,-0.026775990876511
1916,0.012960753090232
1917,0.044950999775881
1918,0.066088954543021
1919,0.069872032520862
1920,0.037215860244549
1921,0.006247096927834
1922,-0.012936005859363
1923,-0.030427682001811
1924,-0.034474303028675
1925,-0.026714255811348
1926,-0.005576675206019
1927,0.022760143608212
1928,0.046467862532107
1929,0.03092901411212
1930,0.022965814894595
1931,0.023177128036719
1932,0.000975442663756
1933,-0.015562053342738
1934,-0.022505191566777
1935,-0.014754991438345
1936,0.011807207298802
1937,0.069491105076513
