year,erf
1750,0.073621394
1751,0.073621394
1752,0.055275105
1753,0.025197175
1754,-0.010980584
1755,-0.045395476
1756,-0.069872796
1757,-0.077454681
1758,-0.058312762
1759,-0.006955633
1760,0.043543464
1761,0.068426399
1762,0.062279768
1763,0.040189338
1764,0.006850886
1765,-0.029904095
1766,-0.059748015
1767,-0.073866546
1768,-0.060684051
1769,-0.004521941
1770,0.061624543
1771,0.093293733
1772,0.085743049
1773,0.062810188
1774,0.026866438
1775,-0.013882293
1776,-0.049607635
1777,-0.070762029
1778,-0.066955486
1779,-0.02232221
1780,0.049081672
1781,0.091858479
1782,0.091702473
1783,0.06741236
1784,0.030548176
1785,-0.012977459
1786,-0.049670037
1787,-0.068967962
1788,-0.055270647
1789,0.01334073
1790,0.09348094
1791,0.12065716
1792,0.106554231
1793,0.088379548
1794,0.057599592
1795,0.021733845
1796,-0.016159978
1797,-0.05002885
1798,-0.075067791
1799,-0.08729865
1800,-0.084771355
1801,-0.066565472
1802,-0.036690349
1803,-0.008546892
1804,0.008613752
1805,0.010891438
1806,0.002342317
1807,-0.012135027
1808,-0.03218178
1809,-0.053835393
1810,-0.073351726
1811,-0.08676823
1812,-0.091464007
1813,-0.086191009
1814,-0.07051242
1815,-0.049607635
1816,-0.030637322
1817,-0.019030486
1818,-0.017283221
1819,-0.024631097
1820,-0.038032
1821,-0.05534865
1822,-0.071947674
1823,-0.083367303
1824,-0.085769793
1825,-0.074147356
1826,-0.044209832
1827,-0.010824578
1828,0.013574738
1829,0.020985017
1830,0.011952277
1831,-0.007782464
1832,-0.034334661
1833,-0.059451604
1834,-0.075020989
1835,-0.072478094
1836,-0.039124041
1837,0.019892976
1838,0.063824226
1839,0.07564947
1840,0.061967756
1841,0.039534113
1842,0.006741682
1843,-0.028110027
1844,-0.058437566
1845,-0.076971062
1846,-0.078219109
1847,-0.065847845
1848,-0.053507781
1849,-0.041136516
1850,-0.028765252
1851,-0.016440789
1852,-0.021900994
1853,-0.022712224
1854,-0.032837005
1855,-0.046690325
1856,-0.055223846
1857,-0.057610735
1858,-0.051635711
1859,-0.034771477
1860,-0.020512542
1861,-0.009935345
1862,-0.012057024
1863,-0.024319085
1864,-0.031510955
1865,-0.03856242
1866,-0.044241033
1867,-0.047127141
1868,-0.051510906
1869,-0.041729339
1870,-0.023882268
1871,-0.022493816
1872,-0.011729412
1873,-0.017408025
1874,-0.027064788
1875,-0.035442303
1876,-0.051042889
1877,-0.058187957
1878,-0.062758929
1879,-0.068421941
1880,-0.067236297
1881,-0.053320574
1882,-0.033960247
1883,-0.038094402
1884,-0.041058514
1885,-0.017860442
1886,-0.032337786
1887,-0.048765203
1888,-0.058889983
1889,-0.062852532
1890,-0.064272185
1891,-0.060808855
1892,-0.035395501
1893,-0.014475115
1894,0.001967902
1895,0.021765046
1896,0.003028742
1897,-0.02258742
1898,-0.039030437
1899,-0.046737127
1900,-0.055910271
1901,-0.061214471
1902,-0.07026281
1903,-0.06810993
1904,-0.049794842
1905,-0.016503191
1906,-0.031183343
1907,-0.007174041
1908,-0.020153728
1909,-0.012041424
1910,-0.028890057
1911,-0.041323723
