year,IPC1,IPC2,IPC4,IPC5,IPCMAG
1750,5.45,1.25e-05,2.97,0.0,18.5
1751,5.47,1.25e-05,2.97,0.0,18.6
1752,5.48,1.26e-05,2.98,0.0,18.6
1753,5.49,1.26e-05,2.99,0.0,18.7
1754,5.51,1.26e-05,3.0,0.0,18.7
1755,5.52,1.2699999999999999e-05,3.01,0.0,18.8
1756,5.54,1.32e-05,3.01,0.0,18.8
1757,5.55,1.32e-05,3.02,0.0,18.9
1758,5.57,1.32e-05,3.03,0.0,18.9
1759,5.58,1.33e-05,3.04,0.0,19.0
1760,5.59,1.33e-05,3.05,0.0,19.0
1761,5.61,1.41e-05,3.05,0.0,19.1
1762,5.63,1.41e-05,3.06,0.0,19.1
1763,5.64,1.41e-05,3.07,0.0,19.2
1764,5.65,1.4200000000000001e-05,3.07,0.0,19.2
1765,5.67,1.4200000000000001e-05,3.08,0.0,19.3
1766,5.69,1.52e-05,3.08,0.0,19.3
1767,5.7,1.52e-05,3.09,0.0,19.4
1768,5.71,1.53e-05,3.1,0.0,19.4
1769,5.72,1.53e-05,3.1,0.0,19.5
1770,5.74,1.53e-05,3.11,0.0,19.5
1771,5.79,1.6400000000000002e-05,3.14,0.0,19.7
1772,5.83,1.6400000000000002e-05,3.18,0.0,19.8
1773,5.87,1.6400000000000002e-05,3.21,0.0,20.0
1774,5.91,1.65e-05,3.25,0.0,20.1
1775,5.95,1.65e-05,3.28,0.0,20.2
1776,6.0,1.76e-05,3.31,0.0,20.4
1777,6.04,1.76e-05,3.35,0.0,20.5
1778,6.08,1.77e-05,3.38,0.0,20.7
1779,6.13,1.77e-05,3.42,0.0,20.8
1780,6.17,1.78e-05,3.45,0.0,21.0
1781,6.2,1.91e-05,3.46,0.0,21.1
1782,6.22,1.92e-05,3.47,0.0,21.2
1783,6.24,1.92e-05,3.49,0.0,21.2
1784,6.27,1.92e-05,3.5,0.0,21.3
1785,6.29,1.94e-05,3.51,0.0,21.4
1786,6.33,2.12e-05,3.52,0.0,21.5
1787,6.35,2.12e-05,3.54,0.0,21.6
1788,6.37,2.12e-05,3.55,0.0,21.7
1789,6.39,2.13e-05,3.56,0.0,21.7
1790,6.41,2.13e-05,3.57,0.0,21.8
1791,6.44,2.3e-05,3.57,0.0,21.9
1792,6.45,2.35e-05,3.57,0.0,21.9
1793,6.46,2.35e-05,3.57,0.0,21.9
1794,6.47,2.35e-05,3.56,0.0,22.0
1795,6.48,2.36e-05,3.56,0.0,22.0
1796,6.5,2.44e-05,3.56,0.0,22.0
1797,6.51,2.53e-05,3.56,0.0,22.1
1798,6.53,2.61e-05,3.55,0.0,22.1
1799,6.55,2.7099999999999998e-05,3.55,0.0,22.1
1800,6.57,3.3799999999999995e-05,3.55,0.0,22.1
1801,6.61,3.4099999999999995e-05,3.57,0.0,22.3
1802,6.68,4.74e-05,3.6,0.0,22.4
1803,6.71,3.7199999999999996e-05,3.62,0.0,22.6
1804,6.77,4.1e-05,3.65,0.0,22.7
1805,6.8,4.01e-05,3.67,0.0,22.8
1806,6.85,4.07e-05,3.7,0.0,23.0
1807,6.89,4.07e-05,3.72,0.0,23.1
1808,6.93,4.08e-05,3.75,0.0,23.2
1809,6.97,4.06e-05,3.77,0.0,23.4
1810,7.03,4.4999999999999996e-05,3.8,0.0,23.5
1811,7.08,4.7e-05,3.81,0.0,23.6
1812,7.13,4.6899999999999995e-05,3.81,0.0,23.7
1813,7.17,4.63e-05,3.82,0.0,23.8
1814,7.22,4.8599999999999995e-05,3.83,0.0,23.9
1815,7.27,5.1e-05,3.83,0.0,24.0
1816,7.33,5.5599999999999996e-05,3.84,0.0,24.1
1817,7.37,5.8099999999999996e-05,3.85,0.0,24.2
1818,7.41,6.03e-05,3.86,0.0,24.3
1819,7.45,5.8700000000000004e-05,3.86,0.0,24.4
1820,7.5,5.96e-05,3.87,0.0,24.5
1821,7.56,6.13e-05,3.89,0.0,24.7
1822,7.63,6.41e-05,3.92,0.0,24.9
1823,7.71,7.01e-05,3.94,0.0,25.1
1824,7.79,7.280000000000001e-05,3.97,0.0,25.2
1825,7.86,7.59e-05,3.99,0.0,25.4
