,beta,n0,n1,n2
CanESM5,-0.8376748207598868,0.019910509017565543,0.40740822826667317,2.8587449168150517e-20
E3SM,-2.0104011228715715,0.010580665175926077,0.004426074835396661,0.027794165783499913
GFDL-CM4,-4.072365844171082,0.0012533433303977012,0.004259380981407126,0.0017459491981485697
GFDL-ESM4,-11160.4688135559,2.652709326797782e-07,3.674021348516412e-06,7.312582671917777e-07
GISS-E2-1-G,-0.6692722339313163,0.006841684162919456,0.5748532911713544,2.8121857808312295e-18
HadGEM3-GC31-LL,-0.9698663333048904,0.01798776508090443,2.451196728348294e-33,0.02839652399659905
IPSL-CM6A-LR,-1.040761420904301,0.003197416445535162,1.275535893791369e-15,0.0028423163590893478
MIROC6,-0.9741191217719701,0.006439346312758441,0.13071465356433112,6.873226061669144e-17
MRI-ESM2-0,-11.173477660144268,0.00047052385882271686,0.0034086116549728544,1.4992355590010186e-13
NorESM2-LM,-15123.900212870749,4.779267552072067e-07,6.492657936488009e-180,1.2731781204772368e-06
UKESM1-0-LL,-0.7357694706943346,0.03703192770497504,2.4139252462840105e-31,0.016231427374200125
